candidate,risk_measure,scenario_tail_overlay_fraction,optimization_scenario_count,lambda_multiplier,inventory_risk_weight,inventory_path_risk_weight,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,event_id,strategy,forecast_error_pnl_vol_dollars,predictive_pnl_vol_dollars
variance__multiplier_1__variance_9.12081e-09__path_0,variance,0.0,,1.0,9.120811753644233e-09,0.0,optimal,-199846.89741340157,295485.70944318594,49045.518055110515,-544378.124911698,3913825.0072656698,7587834.530301042,9233340.300102688,0.4375,event_06,static_open_loop,,
variance__multiplier_3__variance_2.73624e-08__path_0,variance,0.0,,3.0,2.73624352609327e-08,0.0,optimal,-200722.55121264476,303347.2546198881,49070.61564971025,-553140.4214822431,3844063.79732967,7590841.568983307,9173764.111666663,0.4375,event_06,static_open_loop,,
variance__multiplier_10__variance_9.12081e-08__path_0,variance,0.0,,10.0,9.120811753644233e-08,0.0,optimal,-202181.3284669724,319822.97005786444,49070.88210276585,-571075.1806276027,3794739.366338526,7525499.233325735,9152888.91257409,0.4375,event_06,static_open_loop,,
variance__multiplier_0__variance_0__path_0__forecast_error_path,variance,0.0,,0.0,0.0,0.0,optimal,-199183.48207459197,291577.2086071587,49115.037662391005,-539875.7283441416,4087353.886624667,7637105.276103071,9469724.192490725,0.421875,event_06,forecast_error_risk,517391.3486174089,4119970.3399575474
variance__multiplier_0.1__variance_9.12081e-10__path_0__forecast_error_path,variance,0.0,,0.1,9.120811753644234e-10,9.120811753644234e-10,optimal,-199110.6274357338,291804.7885947677,49092.86145508188,-540008.2774855833,4048847.7040860634,7635965.869467288,9407784.045633322,0.421875,event_06,forecast_error_risk,516743.18238337076,4081689.753940478
variance__multiplier_0.3__variance_2.73624e-09__path_0__forecast_error_path,variance,0.0,,0.3,2.73624352609327e-09,2.73624352609327e-09,optimal,-199213.40582099793,292422.82445681526,49068.60837030123,-540704.8386481144,3999455.0114224334,7624178.173557404,9336710.737491794,0.421875,event_06,forecast_error_risk,516253.7739911648,4032636.6495820247
variance__multiplier_1__variance_9.12081e-09__path_0__forecast_error_path,variance,0.0,,1.0,9.120811753644233e-09,9.120811753644233e-09,optimal,-199863.4466526689,295461.0743711425,49039.98280732907,-544364.5038311405,3914044.6301999893,7588331.372242337,9229973.74685724,0.421875,event_06,forecast_error_risk,516616.86652598245,3947991.6861584825
variance__multiplier_3__variance_2.73624e-08__path_0__forecast_error_path,variance,0.0,,3.0,2.73624352609327e-08,2.73624352609327e-08,optimal,-200756.82508942977,303201.722509858,49060.27031736988,-553018.8179166577,3844702.2605800545,7594143.970473111,9166385.804229207,0.4375,event_06,forecast_error_risk,520518.5104015892,3879777.6988095683
variance__multiplier_10__variance_9.12081e-08__path_0__forecast_error_path,variance,0.0,,10.0,9.120811753644233e-08,9.120811753644233e-08,optimal,-202288.02689788246,319389.38266739185,49058.37886887675,-570735.7884341511,3795309.327172889,7535980.165881809,9139197.115808168,0.4375,event_06,forecast_error_risk,523755.46713648195,3831278.2042395305
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,287416.5265505686,304961.5406698905,49200.10623371564,-66745.12035303758,4151753.0471491823,5917511.654551328,8741414.596388258,0.453125,event_07,static_open_loop,,
variance__multiplier_0.1__variance_9.12081e-10__path_0,variance,0.0,,0.1,9.120811753644234e-10,0.0,optimal,285651.24293090723,303425.5200055294,49163.68698830108,-66937.96406292325,4100030.4696849617,5774098.631163115,8626627.443495674,0.453125,event_07,static_open_loop,,
variance__multiplier_0.3__variance_2.73624e-09__path_0,variance,0.0,,0.3,2.73624352609327e-09,0.0,optimal,282141.2907347231,301196.0018014066,49107.83023546155,-68162.54130214508,4014552.5579319187,5837866.937836904,8457542.423516424,0.453125,event_07,static_open_loop,,
variance__multiplier_1__variance_9.12081e-09__path_0,variance,0.0,,1.0,9.120811753644233e-09,0.0,optimal,277087.5842893293,300516.361521123,49055.147054024914,-72483.92428581859,3909451.754261695,6052425.608746659,8234866.24502169,0.453125,event_07,static_open_loop,,
variance__multiplier_3__variance_2.73624e-08__path_0,variance,0.0,,3.0,2.73624352609327e-08,0.0,optimal,273218.7995501166,305300.52123479714,49063.02442898951,-81144.74611367006,3842034.0941864755,6263421.644936654,8142412.646333936,0.46875,event_07,static_open_loop,,
variance__multiplier_10__variance_9.12081e-08__path_0,variance,0.0,,10.0,9.120811753644233e-08,0.0,optimal,269002.4789300755,318077.434249258,49059.98143604992,-98134.93675523245,3794647.6973187546,6192454.141853289,8193375.81458057,0.453125,event_07,static_open_loop,,
variance__multiplier_0__variance_0__path_0__forecast_error_path,variance,0.0,,0.0,0.0,0.0,optimal,287416.5265505686,304961.5406698905,49200.10623371564,-66745.12035303758,4151753.0471491823,5917511.654551328,8741414.596388258,0.453125,event_07,forecast_error_risk,529229.8652042366,4185347.9681785856
variance__multiplier_0.1__variance_9.12081e-10__path_0__forecast_error_path,variance,0.0,,0.1,9.120811753644234e-10,9.120811753644234e-10,optimal,285643.6922832497,303420.9223924345,49162.91870986465,-66940.14881904946,4099741.8635942014,5773469.928662884,8626008.159277719,0.453125,event_07,forecast_error_risk,526535.3559853177,4133415.3951919037
variance__multiplier_0.3__variance_2.73624e-09__path_0__forecast_error_path,variance,0.0,,0.3,2.73624352609327e-09,2.73624352609327e-09,optimal,282133.73211850104,301196.554925727,49106.12893746283,-68168.95174468882,4014268.435408911,5836773.297956226,8456610.730665693,0.453125,event_07,forecast_error_risk,522539.2135331682,4048135.163405512
variance__multiplier_1__variance_9.12081e-09__path_0__forecast_error_path,variance,0.0,,1.0,9.120811753644233e-09,9.120811753644233e-09,optimal,277148.40374180756,300563.8973107281,49051.7461314397,-72467.23970036022,3909701.1445876923,6048388.079812023,8235201.002661158,0.453125,event_07,forecast_error_risk,519768.72238962346,3944099.7153678625
variance__multiplier_3__variance_2.73624e-08__path_0__forecast_error_path,variance,0.0,,3.0,2.73624352609327e-08,2.73624352609327e-08,optimal,273308.4608960209,305305.97283365286,49056.268765780325,-81053.78070341231,3842500.104089194,6255637.302126379,8142166.6223542765,0.46875,event_07,forecast_error_risk,522451.87063680775,3877855.4649519064
variance__multiplier_10__variance_9.12081e-08__path_0__forecast_error_path,variance,0.0,,10.0,9.120811753644233e-08,9.120811753644233e-08,optimal,269121.09540954675,317966.8632913156,49052.52978561548,-97898.29766738435,3795025.5742555163,6194348.562519749,8192430.581688162,0.453125,event_07,forecast_error_risk,524957.4706431355,3831161.632617117
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,436194.02288256545,311189.8578404658,49904.150985101965,75100.0140569977,4323884.079644479,9509394.989499265,10138407.326090906,0.46875,event_08,static_open_loop,,
variance__multiplier_0.1__variance_9.12081e-10__path_0,variance,0.0,,0.1,9.120811753644234e-10,0.0,optimal,434351.2288490771,309616.115863042,49861.928702911246,74873.18428312382,4263711.705452593,9401773.414173337,10111247.026913762,0.46875,event_08,static_open_loop,,
variance__multiplier_0.3__variance_2.73624e-09__path_0,variance,0.0,,0.3,2.73624352609327e-09,0.0,optimal,430602.4643355045,307289.76457138837,49793.005625235564,73519.69413888059,4173239.846153984,9245399.538899373,10059790.99001301,0.46875,event_08,static_open_loop,,
variance__multiplier_1__variance_9.12081e-09__path_0,variance,0.0,,1.0,9.120811753644233e-09,0.0,optimal,420114.38935757725,304161.9394872326,49624.449718767544,66328.00015157711,4009977.6806460833,9056525.471789485,9959259.875079505,0.453125,event_08,static_open_loop,,
variance__multiplier_3__variance_2.73624e-08__path_0,variance,0.0,,3.0,2.73624352609327e-08,0.0,optimal,406717.79352749645,306590.9439521098,49384.368798260584,50742.48077712609,3884076.9940467146,8705661.654737074,9888271.869276125,0.484375,event_08,static_open_loop,,
variance__multiplier_10__variance_9.12081e-08__path_0,variance,0.0,,10.0,9.120811753644233e-08,0.0,optimal,389831.26444924803,320284.46505940956,49164.55150492646,20382.247884912016,3799859.282230612,8233957.968497571,9841572.019825634,0.46875,event_08,static_open_loop,,
variance__multiplier_0__variance_0__path_0__forecast_error_path,variance,0.0,,0.0,0.0,0.0,optimal,436194.02288256545,311189.8578404658,49904.150985101965,75100.0140569977,4323884.079644479,9509394.989499265,10138407.326090906,0.46875,event_08,forecast_error_risk,575750.4933029356,4362047.93242137
variance__multiplier_0.1__variance_9.12081e-10__path_0__forecast_error_path,variance,0.0,,0.1,9.120811753644234e-10,9.120811753644234e-10,optimal,434311.70488106046,309579.9690828096,49861.07468801977,74870.66111023111,4263391.206002533,9401227.421569716,10110554.629106572,0.46875,event_08,forecast_error_risk,573110.9827992572,4301739.273134166
variance__multiplier_0.3__variance_2.73624e-09__path_0__forecast_error_path,variance,0.0,,0.3,2.73624352609327e-09,2.73624352609327e-09,optimal,430497.3707371251,307206.9111257793,49790.89283586717,73499.56677547861,4172368.3374187644,9243780.523692463,10057989.806837669,0.46875,event_08,forecast_error_risk,568686.1849326377,4210945.442537561
variance__multiplier_1__variance_9.12081e-09__path_0__forecast_error_path,variance,0.0,,1.0,9.120811753644233e-09,9.120811753644233e-09,optimal,419896.316195791,304067.6864897945,49620.23876307194,66208.39094292454,4008359.2159625655,9053088.502071835,9956231.452820824,0.453125,event_08,forecast_error_risk,558687.8306404279,4047107.0774440523
