date,holding_pnl_dollars,impact_cost_dollars,linear_cost_dollars,net_pnl_dollars,cumulative_net_pnl_dollars,event_id,strategy
2027-01-29,-791677.4497919224,35361.289203997745,5641.849269948346,-832680.5882658684,-4941053.682619484,event_02,forecast_error_risk
2027-02-01,-467148.4501733312,31226.096235578807,4765.763955070937,-503140.31036398094,-5444193.992983465,event_02,forecast_error_risk
2027-02-02,966512.2650893832,24885.485068779057,5246.835329730814,936379.9446908734,-4507814.048292592,event_02,forecast_error_risk
2027-02-03,-1404207.3884684078,27286.85480876087,4997.70020069065,-1436491.9434778593,-5944305.991770452,event_02,forecast_error_risk
2027-02-09,-67819.29391135309,17680.890489150024,3458.7379712517777,-88958.92237175489,-88958.92237175489,event_03,static_open_loop
2027-02-10,-5675.018126858504,18002.017822588707,3859.81230953354,-27536.84825898075,-116495.77063073564,event_03,static_open_loop
2027-02-11,554776.4881513355,23341.854088330372,4410.274475148833,527024.3595878562,410528.58895712055,event_03,static_open_loop
2027-02-12,-482945.43147604045,35355.11028525476,5821.129922302669,-524121.6716835979,-113593.08272647735,event_03,static_open_loop
2027-02-15,323606.2399810975,48586.6461058146,5935.086629347765,269084.50724593515,155491.4245194578,event_03,static_open_loop
2027-02-16,283476.5656372703,41839.752651399285,5991.666010415005,235645.14697545598,391136.5714949138,event_03,static_open_loop
2027-02-17,-731485.5052319296,37803.16996164709,5869.25779932272,-775157.9329928994,-384021.36149798566,event_03,static_open_loop
2027-02-18,653316.6205852542,28657.67502703157,5325.479312407837,619333.4662458148,235312.10474782914,event_03,static_open_loop
2027-02-19,-467814.75358624937,25995.594818351743,4235.633153372979,-498045.98155797407,-262733.8768101449,event_03,static_open_loop
2027-02-22,1045614.9257414633,31299.749900120383,5122.023828354902,1009193.152012988,746459.2752028431,event_03,static_open_loop
2027-02-09,-67695.52024589447,17554.051691905464,3445.6938720418393,-88695.26580984177,-88695.26580984177,event_03,forecast_error_risk
2027-02-10,-5437.556671822355,17918.763960833254,3850.2607529479014,-27206.581385603513,-115901.84719544528,event_03,forecast_error_risk
2027-02-11,553572.5160756956,23288.422365504357,4403.999897191488,525880.0938129998,409978.2466175545,event_03,forecast_error_risk
2027-02-12,-486226.06703474885,35352.55343386353,5817.536596396125,-527396.1570650085,-117417.91044745402,event_03,forecast_error_risk
2027-02-15,323264.5598321208,48432.26133844763,5923.729079105133,268908.569414568,151490.658967114,event_03,forecast_error_risk
2027-02-16,280537.1899244709,41696.169730317095,5979.6891575571135,232861.3310365967,384351.9900037107,event_03,forecast_error_risk
2027-02-17,-733955.3300910124,37743.15387289628,5862.494663907461,-777560.9786278161,-393208.98862410535,event_03,forecast_error_risk
2027-02-18,650650.802890806,28616.572422450903,5301.059659023316,616733.1708093318,223524.18218522647,event_03,forecast_error_risk
2027-02-19,-468096.5107519318,26032.006596491177,4272.078643840909,-498400.59599226393,-274876.41380703746,event_03,forecast_error_risk
2027-02-22,1045614.9257414412,31580.56703624766,5155.270798397263,1008879.0879067963,734002.6740997587,event_03,forecast_error_risk
2027-02-26,158918.05101315776,18683.00020261359,3683.4546468885633,136551.5961636556,136551.5961636556,event_04,static_open_loop
2027-03-01,66307.89956168536,19100.91088912098,4098.138150128733,43108.850522435656,179660.44668609125,event_04,static_open_loop
2027-03-02,-428685.88201411016,25954.997851855616,4458.249312136378,-459099.1291781022,-279438.68249201094,event_04,static_open_loop
2027-03-03,-162287.69857322102,32175.08589779344,4902.372968957049,-199365.15743997152,-478803.83993198245,event_04,static_open_loop
2027-03-04,-741259.6036637385,42127.14559114052,5514.510921282974,-788901.2601761619,-1267705.1001081443,event_04,static_open_loop
2027-03-05,58206.17049680009,39516.08486507964,5384.89712939941,13305.188502321042,-1254399.9116058233,event_04,static_open_loop
2027-03-08,105641.15525143463,34397.10610365558,4980.528088979902,66263.52105879915,-1188136.390547024,event_04,static_open_loop
2027-03-09,-218230.26826965463,29398.335812930007,4832.540192990375,-252461.144275575,-1440597.534822599,event_04,static_open_loop
2027-03-10,-1511514.8834379003,29108.371833492296,5371.541878751014,-1545994.7971501437,-2986592.3319727425,event_04,static_open_loop
2027-03-11,-650246.1256064376,34152.60344861367,5227.87235038081,-689626.601405432,-3676218.9333781744,event_04,static_open_loop
2027-02-26,158462.97866656684,18567.021436237672,3667.8115070465597,136228.1457232826,136228.1457232826,event_04,forecast_error_risk
2027-03-01,65083.85719716379,19000.243298188365,4083.847487201161,41999.76641177427,178227.91213505686,event_04,forecast_error_risk
2027-03-02,-433071.56536199903,25849.36164247025,4444.929665956681,-463365.856670426,-285137.9445353691,event_04,forecast_error_risk
2027-03-03,-159615.65119666158,32074.311476766852,4889.079068791329,-196579.04174221976,-481716.9862775889,event_04,forecast_error_risk
2027-03-04,-742486.2727413165,42080.08727057367,5504.452632404442,-790070.8126442946,-1271787.7989218836,event_04,forecast_error_risk
2027-03-05,58634.31335909892,39399.904999482766,5363.501358150114,13870.907001466036,-1257916.8919204175,event_04,forecast_error_risk
2027-03-08,105057.75452485784,34320.96994193564,4968.752414448311,65768.03216847389,-1192148.8597519437,event_04,forecast_error_risk
2027-03-09,-218202.57218628365,29375.586508711276,4824.846361560531,-252403.00505655547,-1444551.864808499,event_04,forecast_error_risk
2027-03-10,-1507892.6959176545,29234.046467040585,5394.889953994395,-1542521.6323386896,-2987073.4971471885,event_04,forecast_error_risk
2027-03-11,-650246.1256064323,34451.69843607181,5298.2636027700055,-689996.0876452742,-3677069.5847924626,event_04,forecast_error_risk
2027-03-17,-3209.6582920023584,23732.628152337893,4237.506289473446,-31179.792733813694,-31179.792733813694,event_05,static_open_loop
2027-03-18,102310.94334885471,26242.171189541994,4582.722941164351,71486.04921814836,40306.25648433466,event_05,static_open_loop
2027-03-19,-52676.920315555115,36225.07928293466,5111.909767421221,-94013.90936591101,-53707.652881576345,event_05,static_open_loop
2027-03-22,-713450.3819092411,42026.8567820101,5933.343656501734,-761410.5823477529,-815118.2352293292,event_05,static_open_loop
2027-03-23,415424.2347223678,46825.683965219905,6126.303966171578,362472.2467909763,-452645.9884383529,event_05,static_open_loop
2027-03-24,698967.8403442008,46060.17523947248,6304.111906049986,646603.5531986783,193957.56476032542,event_05,static_open_loop
2027-03-25,-618814.0709743506,39082.737784461,5744.65099641217,-663641.4597552237,-469683.8949948983,event_05,static_open_loop
2027-03-26,215556.76952944827,25949.897214059132,4145.597307950406,185461.27500743873,-284222.61998745956,event_05,static_open_loop
2027-03-29,-370437.96609045536,26752.235830994454,4281.100704078943,-401471.30262552877,-685693.9226129884,event_05,static_open_loop
2027-03-30,-1464069.1303874084,17227.055331224376,3419.7890983418083,-1484715.9748169745,-2170409.8974299626,event_05,static_open_loop
2027-03-17,-2538.0345766787627,23396.3382120784,4204.265518724702,-30138.638307481866,-30138.638307481866,event_05,forecast_error_risk
2027-03-18,101687.8189727332,25885.785153642446,4549.947130085781,71252.08668900498,41113.448381523114,event_05,forecast_error_risk
2027-03-19,-51738.51731619495,35784.454634233654,5079.876761342643,-92602.84871177125,-51489.400330248136,event_05,forecast_error_risk
2027-03-22,-710983.3007664614,41741.01779130166,5911.125048461783,-758635.443606225,-810124.8439364731,event_05,forecast_error_risk
2027-03-23,419202.94593205914,46732.40202436073,6113.220127820494,366357.3237798779,-443767.5201565952,event_05,forecast_error_risk
2027-03-24,694552.7007084063,45991.354745961224,6292.945700290673,642268.4002621543,198500.88010555907,event_05,forecast_error_risk
2027-03-25,-613907.8938611324,39134.784049195114,5743.9463801562315,-658786.6242904838,-460285.7441849247,event_05,forecast_error_risk
2027-03-26,210692.2859626775,26002.831640324508,4164.2216961773765,180525.23262617562,-279760.5115587491,event_05,forecast_error_risk
2027-03-29,-378745.8624422476,26812.85388544715,4310.30107956716,-409869.01740726194,-689629.528966011,event_05,forecast_error_risk
2027-03-30,-1464069.1303874056,17568.74120476292,3493.4106464588895,-1485131.2822386273,-2174760.8112046383,event_05,forecast_error_risk
2027-04-05,-37127.12838406251,13706.553445787298,3062.2398184658105,-53895.92164831562,-53895.92164831562,event_06,static_open_loop
2027-04-06,135052.6956810261,16775.937392045373,3543.570785763592,114733.18750321714,60837.26585490152,event_06,static_open_loop
2027-04-07,-47335.91666522049,23848.106045494504,4082.756099686835,-75266.77881040183,-14429.512955500308,event_06,static_open_loop
2027-04-08,659885.0973982732,39808.41462375138,5714.536253403916,614362.1465211179,599932.6335656176,event_06,static_open_loop
2027-04-09,-932795.5169071532,45762.45422075748,5884.460089473854,-984442.4312173845,-384509.7976517669,event_06,static_open_loop
2027-04-12,111828.31239339501,41751.994791087534,6076.572007192913,63999.74559511457,-320510.0520566524,event_06,static_open_loop
2027-04-13,-1619136.6488818207,37984.66266150438,5253.312513058254,-1662374.6240563835,-1982884.676113036,event_06,static_open_loop
2027-04-14,404323.48981876706,31103.66344071933,4946.7242371546445,368273.1021408931,-1614611.5739721428,event_06,static_open_loop
2027-04-15,23341.32220830649,23710.922178489895,3715.5525100740992,-4085.1524802575036,-1618696.7264524002,event_06,static_open_loop
2027-04-16,2246726.1636296846,44384.32919248489,6473.905652099652,2195867.9287851,577171.2023326999,event_06,static_open_loop
2027-04-05,-37144.268989551645,13588.950797083748,3048.539302404303,-53781.7590890397,-53781.7590890397,event_06,forecast_error_risk
2027-04-06,133999.94518939854,16687.489454737886,3533.584050041985,113778.87168461866,59997.11259557896,event_06,forecast_error_risk
2027-04-07,-47575.94365848926,23796.10291827008,4077.7272990374,-75449.77387579675,-15452.661280217784,event_06,forecast_error_risk
2027-04-08,655435.9808363949,39764.2975187763,5709.933798017492,609961.7495196012,594509.0882393834,event_06,forecast_error_risk
2027-04-09,-930327.3333095551,45606.52401990749,5868.877931503422,-981802.735260966,-387293.6470215826,event_06,forecast_error_risk
2027-04-12,109458.78166595394,41544.58608770599,6057.850368597588,61856.34520965036,-325437.30181193224,event_06,forecast_error_risk
2027-04-13,-1584821.6538459177,37815.13136156922,5237.317758156169,-1627874.1029656432,-1953311.4047775753,event_06,forecast_error_risk
2027-04-14,403488.32832367934,31076.486213828975,4942.7631284327035,367469.0789814177,-1585842.3257961576,event_06,forecast_error_risk
2027-04-15,21061.96039384313,23734.98145987794,3725.1055262592104,-6398.126592294024,-1592240.4523884517,event_06,forecast_error_risk
2027-04-16,2246726.1636296823,44767.18438652212,6543.3483234707655,2195415.6309196893,603175.1785312376,event_06,forecast_error_risk
2027-04-22,-48573.36091993687,12855.132569657868,3108.63859261851,-64537.13208221325,-64537.13208221325,event_07,static_open_loop
2027-04-23,-27886.564061745015,16724.463087803,3433.923853318074,-48044.95100286609,-112582.08308507933,event_07,static_open_loop
2027-04-26,-280570.5341497619,24868.01377162917,4150.2578647913815,-309588.80578618246,-422170.8888712618,event_07,static_open_loop
2027-04-27,-1122380.5276401758,37896.86227082974,5588.614395457497,-1165866.004306463,-1588036.893177725,event_07,static_open_loop
2027-04-28,216304.78680446872,45540.55156256082,5962.857056271327,164801.3781856366,-1423235.5149920883,event_07,static_open_loop
2027-04-29,569314.7383773571,39277.48464620659,5674.5151695018485,524362.7385616486,-898872.7764304397,event_07,static_open_loop
2027-04-30,616552.1054084698,33146.51230442807,5444.12209137982,577961.4710126619,-320911.30541777774,event_07,static_open_loop
2027-05-03,-58663.951482150005,32838.533473999305,5194.9879020668,-96697.4728582161,-417608.7782759938,event_07,static_open_loop
2027-05-04,-208120.59524039875,30403.60905117665,4261.756803321947,-242785.96109489733,-660394.7393708911,event_07,static_open_loop
2027-05-05,980783.4635226257,45032.085975087364,5949.996502336956,929801.3810452014,269406.6416743103,event_07,static_open_loop
2027-04-22,-48157.60372230142,12751.812541505413,3095.238329531181,-64004.65459333802,-64004.65459333802,event_07,forecast_error_risk
2027-04-23,-27320.989626581282,16649.15559817668,3425.5658028241805,-47395.71102758214,-111400.36562092016,event_07,forecast_error_risk
2027-04-26,-279325.5939188794,24834.695423669516,4145.388477488178,-308305.6778200371,-419706.04344095726,event_07,forecast_error_risk
2027-04-27,-1120479.4787998053,37894.068795796375,5585.168800789968,-1163958.7163963916,-1583664.759837349,event_07,forecast_error_risk
2027-04-28,212745.66810583728,45394.22709484533,5949.948733509253,161401.4922774827,-1422263.2675598662,event_07,forecast_error_risk
2027-04-29,574475.9903246432,39149.274782540444,5659.9895330198015,529666.726009083,-892596.5415507832,event_07,forecast_error_risk
2027-04-30,614520.1532770466,33072.1253420945,5434.7919079666135,576013.2360269856,-316583.30552379764,event_07,forecast_error_risk
2027-05-03,-58425.41675764044,32895.32679313159,5204.260398664473,-96525.0039494365,-413108.3094732341,event_07,forecast_error_risk
2027-05-04,-208510.90436192602,30692.30657926865,4305.907792401143,-243509.11873359582,-656617.4282068299,event_07,forecast_error_risk
2027-05-05,980783.4635226339,45169.67331605329,5957.647131084341,929656.1430754963,273038.7148686664,event_07,forecast_error_risk
2027-05-11,-1331.0423790112175,13732.923163738535,3119.828350218204,-18183.79389296796,-18183.79389296796,event_08,static_open_loop
2027-05-12,133197.79807603537,16528.718017772193,3492.5980884041787,113176.481969859,94992.68807689103,event_08,static_open_loop
2027-05-13,139190.62359647785,25485.98398707765,3965.9721334754345,109738.66747592477,204731.3555528158,event_08,static_open_loop
2027-05-14,-299612.50704889157,42978.09139587878,5510.098868186897,-348100.6973129572,-143369.3417601414,event_08,static_open_loop
2027-05-17,-436626.55477321905,46313.22404485911,6233.974004428093,-489173.75282250624,-632543.0945826477,event_08,static_open_loop
2027-05-18,1235609.7116925826,45352.54847191689,6181.795566163963,1184075.3676545017,551532.273071854,event_08,static_open_loop
2027-05-19,-4054307.018923875,39567.54647809745,5491.692631841903,-4099366.2580338144,-3547833.9849619605,event_08,static_open_loop
2027-05-20,998004.2738147471,35027.07529997436,5476.698111478421,957500.5004032942,-2590333.484558666,event_08,static_open_loop
2027-05-21,1885564.9161658303,21526.215994689686,3270.9087748448605,1860767.791396296,-729565.6931623702,event_08,static_open_loop
2027-05-24,2108228.704250506,37233.68307977655,6047.745016254609,2064947.2761544748,1335381.5829921046,event_08,static_open_loop
2027-05-11,-1460.3840782795608,13624.034220736086,3106.770296553028,-18191.188595568674,-18191.188595568674,event_08,forecast_error_risk
2027-05-12,133010.84278495467,16456.92470654314,3484.2548276616794,113069.66325074986,94878.47465518118,event_08,forecast_error_risk
2027-05-13,139707.23323487712,25458.56575767845,3962.6473463174493,110286.02013088122,205164.4947860624,event_08,forecast_error_risk
2027-05-14,-300612.07163752284,42987.42844841325,5507.76824121846,-349107.26832715457,-143942.77354109217,event_08,forecast_error_risk
2027-05-17,-430700.0799442904,46195.91265397122,6222.903064374719,-483118.8956626363,-627061.6692037284,event_08,forecast_error_risk
2027-05-18,1228491.0644753443,45226.52255107868,6171.458315110572,1177093.0836091551,550031.4144054267,event_08,forecast_error_risk
2027-05-19,-4068212.03199831,39552.35801865318,5489.380176494645,-4113253.7701934576,-3563222.3557880307,event_08,forecast_error_risk
2027-05-20,996146.1811469592,35264.095257809124,5489.518350494546,955392.5675386555,-2607829.7882493753,event_08,forecast_error_risk
2027-05-21,1889270.2945482284,21479.611959585982,3258.344418408562,1864532.3381702339,-743297.4500791414,event_08,forecast_error_risk
2027-05-24,2108228.7042505066,37635.97712002386,6093.564216639845,2064499.1629138428,1321201.7128347014,event_08,forecast_error_risk
2027-05-28,8305.017990145738,21410.004764282166,4091.8258944812346,-17196.812668617662,-17196.812668617662,event_09,static_open_loop
2027-05-31,-9270.840828337525,23692.44353247585,4435.77891730336,-37399.06327811673,-54595.87594673439,event_09,static_open_loop
2027-06-01,107494.92194400902,29530.593068151764,5117.569241140492,72846.75963471677,18250.88368798238,event_09,static_open_loop
2027-06-02,250478.78510671732,36515.84842637974,5808.46687393818,208154.4698063994,226405.35349438176,event_09,static_open_loop
2027-06-03,1693700.6610439825,47987.32461587249,6207.809540837732,1639505.5268872723,1865910.880381654,event_09,static_open_loop
2027-06-04,1418913.6406200323,48703.60656576628,6349.577313704938,1363860.4567405612,3229771.337122215,event_09,static_open_loop
2027-06-07,750774.6696114099,33395.892548796386,5690.670753886011,711688.1063087275,3941459.4434309425,event_09,static_open_loop
2027-06-08,1578611.4560653425,29880.749085362917,4143.788353345589,1544586.918626634,5486046.362057576,event_09,static_open_loop
2027-06-09,4725665.867992378,25042.811247014135,3417.0696626190934,4697205.987082744,10183252.34914032,event_09,static_open_loop
2027-06-10,1880686.183216714,20351.92474495135,3779.1642548095638,1856555.0942169533,12039807.443357274,event_09,static_open_loop
2027-05-28,8153.296772509663,21232.2844142801,4070.7738276860164,-17149.761469456455,-17149.761469456455,event_09,forecast_error_risk
2027-05-31,-8417.638695384181,23509.42473513485,4415.497655371967,-36342.561085891,-53492.322555347455,event_09,forecast_error_risk
2027-06-01,107118.87174398675,29328.532605862456,5097.5797001814135,72692.75943794288,19200.436882595423,event_09,forecast_error_risk
2027-06-02,249423.91563659595,36300.55274756242,5786.0633952234675,207337.29949381007,226537.7363764055,event_09,forecast_error_risk
2027-06-03,1685599.1000213334,47763.162875631126,6188.362510642377,1631647.57463506,1858185.3110114655,event_09,forecast_error_risk
2027-06-04,1414339.6634499775,48658.754765328544,6342.567860244914,1359338.340824404,3217523.6518358695,event_09,forecast_error_risk
2027-06-07,751290.8128375502,33495.684334727775,5702.057278326125,712093.0712244962,3929616.7230603658,event_09,forecast_error_risk
2027-06-08,1574686.5293921398,29938.911485262983,4162.136669157572,1540585.4812377193,5470202.204298085,event_09,forecast_error_risk
2027-06-09,4726300.156181709,25090.659787520206,3422.3856271373224,4697787.110767052,10167989.315065136,event_09,forecast_error_risk
2027-06-10,1880686.1832167334,20903.025300879068,3840.094247206209,1855943.0636686482,12023932.378733784,event_09,forecast_error_risk
2027-06-16,-107612.15966436153,20466.540972849958,4221.11305970604,-132299.81369691755,-132299.81369691755,event_10,static_open_loop
2027-06-17,-75748.09088715253,23969.458018451955,4441.687663324994,-104159.23656892948,-236459.05026584704,event_10,static_open_loop
2027-06-18,657977.7814143145,32574.580040370176,5127.608665319154,620275.5927086251,383816.5424427781,event_10,static_open_loop
2027-06-21,76670.41968204788,36946.80989881168,5674.86309538688,34048.74668784932,417865.28913062747,event_10,static_open_loop
2027-06-22,-158957.50248143286,48175.90251692696,6952.244879536386,-214085.6498778962,203779.63925273126,event_10,static_open_loop
2027-06-23,-1560336.0374345966,46091.24603685748,6307.208201131455,-1612734.4916725855,-1408954.8524198541,event_10,static_open_loop
2027-06-24,2081766.5982427245,35436.847028872,5707.11616008406,2040622.6350537685,631667.7826339144,event_10,static_open_loop
2027-06-25,-2512896.7746731527,29056.234325687015,4681.930393445051,-2546634.9393922845,-1914967.15675837,event_10,static_open_loop
2027-06-28,-549067.9096165386,20835.873011898424,3529.6216103792076,-573433.4042388162,-2488400.560997186,event_10,static_open_loop
2027-06-29,733173.1914217203,17549.704984780034,3133.522758928283,712489.963678012,-1775910.597319174,event_10,static_open_loop
2027-06-16,-107686.8267119222,20213.281151075807,4194.263508308788,-132094.3713713068,-132094.3713713068,event_10,forecast_error_risk
2027-06-17,-74975.95770744482,23685.176751032206,4414.381075016944,-103075.51553349398,-235169.88690480078,event_10,forecast_error_risk
2027-06-18,653843.8064959918,32236.79523259172,5099.07252518344,616507.9387382166,381338.05183341587,event_10,forecast_error_risk
2027-06-21,77286.65385252004,36595.77505703193,5643.428487355921,35047.45030813219,416385.5021415481,event_10,forecast_error_risk
2027-06-22,-158072.70685248842,47882.026363031175,6928.271850861019,-212883.00506638063,203502.49707516746,event_10,forecast_error_risk
2027-06-23,-1555924.4160857163,46053.99149737243,6300.123688298848,-1608278.5312713876,-1404776.03419622,event_10,forecast_error_risk
2027-06-24,2073878.3830508674,35504.04131105734,5713.254438224188,2032661.0873015858,627885.0531053657,event_10,forecast_error_risk
2027-06-25,-2502492.06081553,29168.316000191586,4713.151177387681,-2536373.527993109,-1908488.4748877434,event_10,forecast_error_risk
2027-06-28,-548730.4600697824,20934.59525906331,3552.978968376584,-573218.0342972223,-2481706.509184966,event_10,forecast_error_risk
2027-06-29,733173.191421678,18200.96638148849,3198.9719465949884,711773.2530935946,-1769933.2560913712,event_10,forecast_error_risk
2027-07-05,-29243.86796694453,23613.792131606755,4250.330009013082,-57107.990107564365,-57107.990107564365,event_11,static_open_loop
2027-07-06,-91852.05448493687,23273.306979829147,4809.187650780803,-119934.54911554683,-177042.5392231112,event_11,static_open_loop
2027-07-07,230150.07251379767,30247.041446789503,5235.773309934632,194667.25775707353,17624.718533962325,event_11,static_open_loop
2027-07-08,-536077.6427664878,38421.27139872124,6247.102160437711,-580746.0163256468,-563121.2977916845,event_11,static_open_loop
2027-07-09,128174.11020450684,44642.89709203886,6845.906316919471,76685.30679554852,-486435.990996136,event_11,static_open_loop
2027-07-12,162719.53419906402,47964.369180510264,6444.197299869357,108310.9677186844,-378125.0232774516,event_11,static_open_loop
2027-07-13,1021505.585079064,32563.82017282985,5077.693113871851,983864.0717923623,605739.0485149107,event_11,static_open_loop
2027-07-14,1470238.724451961,28533.89215651851,4233.814130492894,1437471.0181649495,2043210.0666798602,event_11,static_open_loop
2027-07-15,-625760.4148743494,24989.908967519783,3339.039727861701,-654089.3635697308,1389120.7031101296,event_11,static_open_loop
2027-07-16,-33099.527051170386,18856.528003637854,3185.63187981958,-55141.68693462782,1333979.0161755017,event_11,static_open_loop
2027-07-05,-28507.24048809349,23425.58001006909,4231.251298440123,-56164.0717966027,-56164.0717966027,event_11,forecast_error_risk
2027-07-06,-91670.73352344529,23120.03935022246,4790.919176278562,-119581.69204994632,-175745.76384654903,event_11,forecast_error_risk
2027-07-07,228980.1325470419,30072.977650092864,5218.902557191492,193688.25233975754,17942.48849320851,event_11,forecast_error_risk
2027-07-08,-532864.9252246473,38236.013277192884,6231.286457630399,-577332.2249594706,-559389.736466262,event_11,forecast_error_risk
2027-07-09,126175.96274757967,44471.92454727299,6832.4235068429525,74871.61469346372,-484518.1217727983,event_11,forecast_error_risk
2027-07-12,164236.02328484086,47931.42496854825,6441.413956735336,109863.18435955727,-374654.937413241,event_11,forecast_error_risk
2027-07-13,1021592.5215311284,32599.806701312227,5086.47126119634,983906.24356862,609251.3061553789,event_11,forecast_error_risk
2027-07-14,1469347.7196369912,28593.52523593134,4259.9012013014235,1436494.2931997583,2045745.5993551372,event_11,forecast_error_risk
2027-07-15,-623794.9423022135,25033.52794686347,3361.1858095810653,-652189.656058658,1393555.943296479,event_11,forecast_error_risk
2027-07-16,-33099.527051211044,19067.105758762584,3205.7325656172407,-55372.36537559087,1338183.577920888,event_11,forecast_error_risk
2027-07-22,-30597.098489787673,22214.25271301018,4165.064296911911,-56976.415499709765,-56976.415499709765,event_12,static_open_loop
2027-07-23,711850.2277976632,25837.984518009078,4400.683862418222,681611.5594172359,624635.1439175261,event_12,static_open_loop
2027-07-26,188863.4640028459,28603.41712818368,5233.952836116883,155026.09403854533,779661.2379560715,event_12,static_open_loop
2027-07-27,-888996.8228079191,34468.297745705924,5761.782897849838,-929226.9034514748,-149565.66549540334,event_12,static_open_loop
2027-07-28,-131478.898924159,43524.469777566985,6467.640886386425,-181471.0095881124,-331036.67508351576,event_12,static_open_loop
2027-07-29,-3480324.0827996144,44614.18492552103,6353.95364624419,-3531292.2213713797,-3862328.8964548954,event_12,static_open_loop
